Kommunenr;Kommune;KretsID;Krets;Parti;ForhåndsStemmer;Stemmer;ProsentAndel;EndringStemmer11;EndringFordeling11;EndringStemmer09;EndringFordeling09
0301;Oslo;0101;Vahl skole;A;0;649;40,4;-470;-2,8;-311;1,3
0301;Oslo;0101;Vahl skole;SV;0;209;13;-68;2,3;-271;-6,6
0301;Oslo;0101;Vahl skole;SP;0;23;1,4;-27;-0,5;-7;0,2
0301;Oslo;0101;Vahl skole;KRF;0;28;1,7;5;0,9;-23;-0,3
0301;Oslo;0101;Vahl skole;V;0;139;8,7;-107;-0,9;-36;1,5
0301;Oslo;0101;Vahl skole;H;0;194;12,1;-196;-3;-70;1,3
0301;Oslo;0101;Vahl skole;FRP;0;89;5,5;-37;0,7;-149;-4,2
0301;Oslo;0101;Vahl skole;MDG;0;125;7,8;12;3,4;97;6,6
0301;Oslo;0101;Vahl skole;KRISTNE;0;1;0,1;1;0,1;1;0,1
0301;Oslo;0101;Vahl skole;DLF;0;3;0,2;-1;0;-1;0
0301;Oslo;0101;Vahl skole;NKP;0;0;0;-2;-0,1;-1;0
0301;Oslo;0101;Vahl skole;DEMN;0;0;0;-3;-0,1;0;0
0301;Oslo;0101;Vahl skole;SFP;0;0;0;0;0;0;0
0301;Oslo;0101;Vahl skole;KYST;0;0;0;-1;0;-2;-0,1
0301;Oslo;0101;Vahl skole;PP;0;1;0,1;-4;-0,1;-2;-0,1
0301;Oslo;0101;Vahl skole;PIR;0;13;0,8;13;0,8;13;0,8
0301;Oslo;0101;Vahl skole;RØDT;0;132;8,2;-95;-0,6;-48;0,9
0301;Oslo;0101;Vahl skole;KSP;0;0;0;-2;-0,1;-3;-0,1
0301;Oslo;0101;Vahl skole;Andre2;0;0;0;0;0;-33;-1,3
0301;Oslo;0102;Tøyen skole;A;0;1068;41,6;-408;-2;-342;0,5
0301;Oslo;0102;Tøyen skole;SV;0;337;13,1;-24;2,5;-320;-6
0301;Oslo;0102;Tøyen skole;SP;0;20;0,8;-12;-0,2;-24;-0,5
0301;Oslo;0102;Tøyen skole;KRF;0;43;1,7;-3;0,3;-11;0,1
0301;Oslo;0102;Tøyen skole;V;0;235;9,2;-65;0,3;-20;1,7
0301;Oslo;0102;Tøyen skole;H;0;271;10,6;-213;-3,7;-32;1,7
0301;Oslo;0102;Tøyen skole;FRP;0;155;6;-8;1,2;-201;-4,3
0301;Oslo;0102;Tøyen skole;MDG;0;220;8,6;13;2,5;197;7,9
0301;Oslo;0102;Tøyen skole;RØDT;0;188;7,3;-112;-1,5;-108;-1,3
0301;Oslo;0102;Tøyen skole;SFP;0;2;0,1;2;0,1;1;0
0301;Oslo;0102;Tøyen skole;DLF;0;1;0;-3;-0,1;-4;-0,1
0301;Oslo;0102;Tøyen skole;KRISTNE;0;6;0,2;6;0,2;6;0,2
0301;Oslo;0102;Tøyen skole;KSP;0;1;0;0;0;-2;0
0301;Oslo;0102;Tøyen skole;KYST;0;1;0;0;0;0;0
0301;Oslo;0102;Tøyen skole;NKP;0;1;0;-4;-0,1;-1;0
0301;Oslo;0102;Tøyen skole;PIR;0;12;0,5;12;0,5;12;0,5
0301;Oslo;0102;Tøyen skole;PP;0;4;0,2;-2;0;-9;-0,2
0301;Oslo;0102;Tøyen skole;DEMN;0;2;0,1;0;0;2;0,1
0301;Oslo;0102;Tøyen skole;Andre2;0;0;0;0;0;-8;-0,2
