Fylkeid;Kommuneid;Kommune;Godkjente stemmegivninger;Godkjente stemmer;Antall forkastede;Antall blanke;Antall stemmeberettigede;;;
01;0101;Halden;16802;16718;31;107;22632;;;
01;0104;Moss;17372;17273;19;91;22764;;;
01;0105;Sarpsborg;29262;29090;71;172;39631;;;
01;0106;Fredrikstad;43275;42959;47;240;57134;;;
01;0111;Hvaler;2773;2768;7;5;3419;;;
01;0118;Aremark;925;918;0;5;1116;;;
01;0119;Marker;2201;2182;0;15;2794;;;
01;0121;Rømskog;443;437;1;5;526;;;
01;0122;Trøgstad;3007;2991;3;22;3947;;;
01;0123;Spydeberg;3214;3209;0;10;4039;;;
01;0124;Askim;8244;8173;5;69;11150;;;
01;0125;Eidsberg;5986;5945;2;41;8130;;;
01;0127;Skiptvet;2019;2006;0;12;2627;;;
01;0128;Rakkestad;4276;4253;5;14;5828;;;
01;0135;Råde;4279;4255;6;23;5227;;;
01;0136;Rygge;8614;8567;16;42;11076;;;
01;0137;Våler;2696;2676;0;12;3429;;;
01;0138;Hobøl;2830;2842;0;10;3569;;;
02;0211;Vestby;8919;8899;22;36;10889;;;
02;0213;Ski;16951;16912;15;54;20523;;;
02;0214;Ås;9674;9625;9;50;11791;;;
02;0215;Frogn;9574;9544;31;36;11293;;;
02;0216;Nesodden;10598;10565;10;41;12595;;;
02;0217;Oppegård;16069;16015;18;55;18625;;;
02;0219;Bærum;67375;67251;130;192;79277;;;
02;0220;Asker;33033;32932;14;104;38963;;;
02;0221;Aurskog-Høland;8884;8807;9;52;11197;;;
02;0226;Sørum;9228;9179;15;51;11191;;;
02;0227;Fet;6361;6341;5;18;7718;;;
02;0228;Rælingen;9109;9080;10;38;11654;;;
02;0229;Enebakk;5765;5761;6;32;7348;;;
02;0230;Lørenskog;18991;18919;27;77;24027;;;
02;0231;Skedsmo;27802;27767;23;93;35670;;;
02;0233;Nittedal;12704;12655;23;49;15334;;;
02;0234;Gjerdrum;3519;3507;0;14;4226;;;
02;0235;Ullensaker;16708;16641;13;91;21589;;;
02;0236;Nes;11199;11132;13;63;14567;;;
02;0237;Eidsvoll;12224;12166;19;75;16034;;;
02;0238;Nannestad;6062;6031;18;35;7935;;;
02;0239;Hurdal;1522;1520;6;11;1993;;;
