Fylke,Fylkenavn,Kommunenavn,KommuneID,Parti,ForhåndsStemmer,Stemmer totalt,ProsentAndel,EndringStemmer11,EndringFordeling11,EndringStemmer09,EndringFordeling09
1,Østfold,Halden,0101,A,868,6118,36.6,1556,1.6,-491,-5
1,Østfold,Halden,0101,SV,55,400,2.4,-80,-1.3,-430,-2.8
1,Østfold,Halden,0101,SP,70,626,3.7,40,-0.7,-101,-0.8
1,Østfold,Halden,0101,KRF,172,1047,6.3,336,0.8,69,0.1
1,Østfold,Halden,0101,V,127,743,4.4,123,-0.3,327,1.8
1,Østfold,Halden,0101,H,708,3907,23.4,-333,-9.1,1944,11
1,Østfold,Halden,0101,FRP,472,2954,17.7,1791,8.8,-923,-6.7
1,Østfold,Halden,0101,MDG,72,416,2.5,175,0.6,331,2
1,Østfold,Halden,0101,PIR,10,82,0.5,82,0.5,82,0.5
1,Østfold,Halden,0101,KYST,1,7,0,-10,-0.1,-8,-0.1
1,Østfold,Halden,0101,RØDT,31,133,0.8,-18,-0.4,-36,-0.3
1,Østfold,Halden,0101,KRISTNE,37,143,0.9,143,0.9,143,0.9
1,Østfold,Halden,0101,DEMN,0,10,0.1,-27,-0.2,10,0.1
1,Østfold,Halden,0101,PP,27,103,0.6,-64,-0.7,-63,-0.4
1,Østfold,Halden,0101,KSP,5,29,0.2,-39,-0.3,-4,0
1,Østfold,Halden,0101,Andre2,0,0,0,0,0,-39,-0.2
1,Østfold,Moss,0104,A,1232,6136,35.5,1919,-0.8,-247,-3.2
1,Østfold,Moss,0104,SV,155,637,3.7,191,-0.2,-422,-2.7
1,Østfold,Moss,0104,SP,20,116,0.7,31,-0.1,-37,-0.3
1,Østfold,Moss,0104,KRF,123,572,3.3,283,0.8,124,0.6
1,Østfold,Moss,0104,V,139,776,4.5,283,0.2,253,1.3
1,Østfold,Moss,0104,H,1088,4842,28,974,-5.3,1623,8.5
1,Østfold,Moss,0104,FRP,730,3241,18.8,1697,5.5,-1000,-7
1,Østfold,Moss,0104,MDG,105,487,2.8,383,1.9,434,2.5
1,Østfold,Moss,0104,PIR,10,68,0.4,68,0.4,68,0.4
1,Østfold,Moss,0104,PP,28,58,0.3,-108,-1.1,-76,-0.5
1,Østfold,Moss,0104,KSP,2,8,0,-5,-0.1,-14,-0.1
1,Østfold,Moss,0104,RØDT,67,268,1.6,-75,-1.4,52,0.2
1,Østfold,Moss,0104,KRISTNE,17,51,0.3,51,0.3,51,0.3
1,Østfold,Moss,0104,DEMN,3,8,0,-20,-0.2,8,0
1,Østfold,Moss,0104,KYST,2,5,0,-10,-0.1,-1,0
1,Østfold,Moss,0104,Andre2,0,0,0,0,0,-17,-0.1
1,Østfold,Sarpsborg,0105,A,2206,11473,39.4,1129,-8.4,-980,-5
1,Østfold,Sarpsborg,0105,SV,110,499,1.7,6,-0.6,-445,-1.7
1,Østfold,Sarpsborg,0105,SP,120,828,2.8,84,-0.6,-80,-0.4
1,Østfold,Sarpsborg,0105,KRF,310,1551,5.3,225,-0.8,-56,-0.4
1,Østfold,Sarpsborg,0105,V,168,829,2.8,312,0.5,313,1
1,Østfold,Sarpsborg,0105,H,1375,6658,22.9,2225,2.4,3269,10.8
1,Østfold,Sarpsborg,0105,FRP,1167,5911,20.3,2939,6.6,-1687,-6.8
1,Østfold,Sarpsborg,0105,MDG,114,407,1.4,318,1,357,1.2
1,Østfold,Sarpsborg,0105,PIR,10,92,0.3,92,0.3,92,0.3
1,Østfold,Sarpsborg,0105,PP,84,280,1,-154,-1,-52,-0.2
1,Østfold,Sarpsborg,0105,KRISTNE,92,339,1.2,339,1.2,339,1.2
1,Østfold,Sarpsborg,0105,DEMN,13,27,0.1,-21,-0.1,27,0.1
1,Østfold,Sarpsborg,0105,RØDT,41,152,0.5,32,0,32,0.1
1,Østfold,Sarpsborg,0105,KSP,5,33,0.1,-45,-0.2,-27,-0.1
1,Østfold,Sarpsborg,0105,KYST,2,11,0,-3,0,-7,0
1,Østfold,Sarpsborg,0105,Andre2,0,0,0,0,0,-48,-0.2
1,Østfold,Fredrikstad,0106,A,6605,16141,37.6,279,-11.6,-1093,-5.1
1,Østfold,Fredrikstad,0106,SV,447,1067,2.5,73,-0.6,-923,-2.4
1,Østfold,Fredrikstad,0106,SP,230,720,1.7,-33,-0.7,-129,-0.4
1,Østfold,Fredrikstad,0106,KRF,778,2192,5.1,664,0.4,54,-0.2
1,Østfold,Fredrikstad,0106,V,670,1576,3.7,644,0.8,561,1.2
1,Østfold,Fredrikstad,0106,H,5605,11065,25.8,4071,4.1,4906,10.5
1,Østfold,Fredrikstad,0106,FRP,3669,8055,18.8,4122,6.6,-1916,-5.9
1,Østfold,Fredrikstad,0106,MDG,529,1018,2.4,794,1.7,922,2.1
1,Østfold,Fredrikstad,0106,PIR,90,158,0.4,158,0.4,158,0.4
1,Østfold,Fredrikstad,0106,PP,121,333,0.8,-136,-0.7,-88,-0.3
1,Østfold,Fredrikstad,0106,KYST,8,23,0.1,-60,-0.2,-17,0
1,Østfold,Fredrikstad,0106,KSP,6,29,0.1,-39,-0.1,-21,-0.1
1,Østfold,Fredrikstad,0106,DEMN,6,21,0,-51,-0.2,21,0
1,Østfold,Fredrikstad,0106,KRISTNE,87,253,0.6,253,0.6,253,0.6
1,Østfold,Fredrikstad,0106,RØDT,138,308,0.7,-51,-0.4,3,0
1,Østfold,Fredrikstad,0106,Andre2,0,0,0,0,0,-119,-0.3
1,Østfold,Hvaler,0111,A,193,895,32.3,112,-2.5,-20,-4.6
1,Østfold,Hvaler,0111,SV,18,83,3,-4,-0.9,-57,-2.7
1,Østfold,Hvaler,0111,SP,11,46,1.7,-13,-1,-11,-0.6
1,Østfold,Hvaler,0111,KRF,30,100,3.6,25,0.3,16,0.2
1,Østfold,Hvaler,0111,V,34,111,4,32,0.5,39,1.1
1,Østfold,Hvaler,0111,H,207,791,28.6,187,1.7,339,10.3
1,Østfold,Hvaler,0111,FRP,178,624,22.5,164,2.1,-71,-5.5
1,Østfold,Hvaler,0111,MDG,17,61,2.2,37,1.1,59,2.1
1,Østfold,Hvaler,0111,KSP,0,7,0.3,4,0.1,5,0.2
